Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
,start,end,start,end,start,end,start,end,,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal
1,7.152,15.476,-0.03253542,0.05061065,4.408951,4.651463,34.66,34.59,Sess01_script01_M001,surprise,1.7,4,surprise,2,5,surprise,2,5,surprise,2,4,surprise,1,4,fear,1,5,surprise,1,1,surprise,2,4,surprise,1,4,surprise,3,4,surprise,2,4
2,15.476,19.786,0.05061065,-0.4735711,4.651463,4.478828,34.59,34.61,Sess01_script01_F001,surprise,1.6,3.9,fear,3,4,surprise,1,5,surprise,2,4,surprise,1,4,fear,1,5,surprise,1,1,surprise,2,5,surprise,1,4,surprise,2,4,neutral,2,3
3,19.786,26.493,-0.4735711,-0.2928188,4.478828,4.746299,34.61,34.55,Sess01_script01_M002,angry,1.3,4.3,angry,1,5,angry,2,5,angry,2,4,angry,1,5,angry,1,5,angry,1,1,angry,1,5,angry,1,4,angry,2,5,angry,1,4
4,26.493,28.943,-0.2928188,2.653444,4.746299,4.579696,34.55,34.53,Sess01_script01_M003,angry,1.5,3.8,angry,2,4,surprise,2,5,angry,2,4,angry,1,4,angry,1,4,angry,1,1,angry,1,4,angry,1,4,angry,3,4,angry,1,4
5,28.943,32.167,2.653444,1.97743,4.579696,4.683502,34.53,34.5,Sess01_script01_F002,fear,1.6,3.8,fear,3,4,surprise,2,5,neutral,2,4,fear,1,4,angry,1,4,fear,1,1,neutral,2,4,fear,1,4,angry,2,4,fear,1,4
6,32.167,39.264,1.97743,-0.1048364,4.683502,4.932125,34.5,34.43,Sess01_script01_M004,fear,1.5,3.5,fear,3,4,surprise,1,4,fear,2,4,fear,1,4,surprise,1,4,fear,1,1,neutral,2,4,fear,1,4,neutral,2,4,sad,1,2
7,39.264,46.833,-0.1048364,-0.05061065,4.932125,5.703753,34.43,34.25,Sess01_script01_F003,fear,1.6,3.3,fear,3,4,surprise,1,5,fear,2,2,fear,1,4,fear,1,4,fear,1,1,neutral,2,3,fear,1,4,neutral,3,4,fear,1,2
8,46.833,60.445,-0.05061065,-0.02892037,5.703753,5.630704,34.25,34.13,Sess01_script01_M005,fear,1.3,3.8,fear,1,4,fear,1,5,fear,2,4,fear,1,5,fear,1,4,fear,1,1,neutral,1,4,fear,1,4,surprise,3,5,fear,1,2
9,60.445,64.024,-0.02892037,-0.01084514,5.630704,5.820375,34.13,34.13,Sess01_script01_M006,angry,1.2,4.5,angry,1,5,angry,1,5,angry,2,5,angry,1,5,angry,1,5,angry,1,1,angry,1,5,angry,1,4,angry,2,5,angry,1,5
10,64.024,65.189,-0.01084514,-0.2096727,5.820375,6.161271,34.13,34.11,Sess01_script01_F004,angry,1.5,4,fear,3,3,surprise,1,5,angry,2,4,surprise,1,5,angry,1,5,surprise,1,1,angry,2,4,surprise,1,4,angry,2,4,angry,1,5
11,65.189,73.016,-0.2096727,-0.09399121,6.161271,5.161525,34.11,34.15,Sess01_script01_M007,surprise,1.5,4.1,fear,3,3,surprise,1,5,surprise,2,4,surprise,1,5,surprise,1,5,surprise,1,1,surprise,2,5,surprise,1,4,surprise,2,5,surprise,1,4
12,73.016,83.209,-0.09399121,0.01446019,5.161525,4.636085,34.15,34.07,Sess01_script01_F005,surprise,1.6,3.3,fear,3,3,surprise,2,4,neutral,2,3,surprise,1,4,surprise,1,4,surprise,1,1,neutral,2,3,surprise,1,4,surprise,2,4,neutral,1,3
