Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
,start,end,start,end,start,end,start,end,,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal
1,5.736,9.884,-0.01446019,-0.05784074,0.140819,0.135699,31.29,31.27,Sess02_script01_F001,happy,3.9,3.2,happy,4,3,happy,3,3,happy,4,3,neutral,4,3,neutral,4,3,happy,4,4,happy,4,4,happy,4,3,happy,4,3,happy,4,3
2,9.884,15.847,-0.05784074,-0.03253542,0.135699,0.130578,31.27,31.29,Sess02_script01_M001,happy,3.6,3.2,happy,4,4,neutral,2,3,happy,4,3,neutral,3,3,happy,4,4,neutral,4,3,happy,4,3,happy,4,3,neutral,3,3,happy,4,3
3,15.847,21.365,-0.03253542,0.03976551,0.130578,0.130578,31.29,31.27,Sess02_script01_F002,neutral;happy,3.7,3.2,happy,4,4,happy,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,happy,4,3,happy,4,3,neutral,4,3,happy,4,4
4,21.365,29.539,0.03976551,0.01084514,0.130578,0.138259,31.27,31.29,Sess02_script01_M002,neutral,3.1,2.9,neutral,3,3,neutral,2,3,neutral,3,3,neutral,3,2,neutral,3,3,neutral,3,3,neutral,4,3,happy,4,3,neutral,3,3,neutral,3,3
5,29.539,30.997,0.01084514,-0.05061065,0.138259,0.138259,31.29,31.31,Sess02_script01_F003,neutral,3.5,3,happy,4,4,neutral,2,3,neutral,3,3,neutral,3,2,neutral,3,3,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3
6,30.997,41.343,-0.05061065,-0.03615047,0.138259,0.133138,31.31,31.27,Sess02_script01_M003,neutral,3.1,3,happy,4,4,angry,2,3,neutral,3,3,neutral,2,2,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,3,3
7,41.343,44.232,-0.03615047,-0.03615047,0.133138,0.134418,31.27,31.25,Sess02_script01_F004,neutral,2.8,3.3,neutral,4,5,angry,2,4,neutral,3,3,disgust,2,2,neutral,3,3,neutral,4,2,angry,2,3,angry,2,4,neutral,4,3,angry,2,4
8,44.232,53.589,-0.03615047,-0.02892037,0.134418,0.133138,31.25,31.25,Sess02_script01_M004,neutral,3.1,3,neutral,3,3,neutral,2,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
9,53.589,58.493,-0.02892037,-0.03615047,0.133138,0.131858,31.25,31.25,Sess02_script01_F005,neutral,2.3,2.8,sad,2,3,angry,2,4,neutral,3,3,disgust,2,2,neutral,3,3,neutral,2,2,angry,2,3,neutral,2,3,neutral,3,3,neutral,2,2
