1597976852.000000,2020-0821-1127-32-000
4.000000,hz
34.63,2020-0821-1127-32-000
34.63,2020-0821-1127-32-250
34.63,2020-0821-1127-32-500
34.63,2020-0821-1127-32-750
34.63,2020-0821-1127-33-000
34.63,2020-0821-1127-33-250
34.63,2020-0821-1127-33-500
34.63,2020-0821-1127-33-750
34.63,2020-0821-1127-34-000
34.63,2020-0821-1127-34-250
34.63,2020-0821-1127-34-500
34.63,2020-0821-1127-34-750
34.65,2020-0821-1127-35-000
34.65,2020-0821-1127-35-250
34.65,2020-0821-1127-35-500
34.65,2020-0821-1127-35-750
34.65,2020-0821-1127-36-000
34.65,2020-0821-1127-36-250
34.65,2020-0821-1127-36-500
34.65,2020-0821-1127-36-750
34.65,2020-0821-1127-37-000
34.65,2020-0821-1127-37-250
34.65,2020-0821-1127-37-500
34.65,2020-0821-1127-37-750
34.61,2020-0821-1127-38-000
34.61,2020-0821-1127-38-250
34.61,2020-0821-1127-38-500
34.61,2020-0821-1127-38-750
34.61,2020-0821-1127-39-000
34.61,2020-0821-1127-39-250
34.61,2020-0821-1127-39-500
34.61,2020-0821-1127-39-750
34.63,2020-0821-1127-40-000
34.63,2020-0821-1127-40-250
34.63,2020-0821-1127-40-500
34.63,2020-0821-1127-40-750
34.63,2020-0821-1127-41-000
34.63,2020-0821-1127-41-250
34.63,2020-0821-1127-41-500
34.63,2020-0821-1127-41-750
34.61,2020-0821-1127-42-000
34.61,2020-0821-1127-42-250
34.61,2020-0821-1127-42-500
34.61,2020-0821-1127-42-750
34.63,2020-0821-1127-43-000
34.63,2020-0821-1127-43-250
34.63,2020-0821-1127-43-500
34.63,2020-0821-1127-43-750
34.59,2020-0821-1127-44-000
34.59,2020-0821-1127-44-250
34.59,2020-0821-1127-44-500
34.59,2020-0821-1127-44-750
34.61,2020-0821-1127-45-000
34.61,2020-0821-1127-45-250
34.61,2020-0821-1127-45-500
34.61,2020-0821-1127-45-750
34.61,2020-0821-1127-46-000
34.61,2020-0821-1127-46-250
34.61,2020-0821-1127-46-500
34.61,2020-0821-1127-46-750
34.63,2020-0821-1127-47-000
34.63,2020-0821-1127-47-250
34.63,2020-0821-1127-47-500
34.63,2020-0821-1127-47-750
34.61,2020-0821-1127-48-000
34.61,2020-0821-1127-48-250
34.61,2020-0821-1127-48-500
34.61,2020-0821-1127-48-750
34.59,2020-0821-1127-49-000
34.59,2020-0821-1127-49-250
34.59,2020-0821-1127-49-500
34.59,2020-0821-1127-49-750
34.59,2020-0821-1127-50-000
34.59,2020-0821-1127-50-250
34.59,2020-0821-1127-50-500
34.59,2020-0821-1127-50-750
34.59,2020-0821-1127-51-000
34.59,2020-0821-1127-51-250
34.59,2020-0821-1127-51-500
34.59,2020-0821-1127-51-750
34.61,2020-0821-1127-52-000
34.61,2020-0821-1127-52-250
34.61,2020-0821-1127-52-500
34.61,2020-0821-1127-52-750
34.57,2020-0821-1127-53-000
34.57,2020-0821-1127-53-250
34.57,2020-0821-1127-53-500
34.57,2020-0821-1127-53-750
34.55,2020-0821-1127-54-000
34.55,2020-0821-1127-54-250
34.55,2020-0821-1127-54-500
34.55,2020-0821-1127-54-750
34.57,2020-0821-1127-55-000
34.57,2020-0821-1127-55-250
34.57,2020-0821-1127-55-500
34.57,2020-0821-1127-55-750
34.57,2020-0821-1127-56-000
34.57,2020-0821-1127-56-250
34.57,2020-0821-1127-56-500
34.57,2020-0821-1127-56-750
34.57,2020-0821-1127-57-000
34.57,2020-0821-1127-57-250
34.57,2020-0821-1127-57-500
34.57,2020-0821-1127-57-750
34.59,2020-0821-1127-58-000
34.59,2020-0821-1127-58-250
34.59,2020-0821-1127-58-500
34.59,2020-0821-1127-58-750
34.57,2020-0821-1127-59-000
34.57,2020-0821-1127-59-250
34.57,2020-0821-1127-59-500
34.57,2020-0821-1127-59-750
34.57,2020-0821-1128-00-000
34.57,2020-0821-1128-00-250
34.57,2020-0821-1128-00-500
34.57,2020-0821-1128-00-750
34.57,2020-0821-1128-01-000
34.57,2020-0821-1128-01-250
34.57,2020-0821-1128-01-500
34.57,2020-0821-1128-01-750
34.55,2020-0821-1128-02-000
34.55,2020-0821-1128-02-250
34.55,2020-0821-1128-02-500
34.55,2020-0821-1128-02-750
34.57,2020-0821-1128-03-000
34.57,2020-0821-1128-03-250
34.57,2020-0821-1128-03-500
34.57,2020-0821-1128-03-750
34.57,2020-0821-1128-04-000
34.57,2020-0821-1128-04-250
34.57,2020-0821-1128-04-500
34.57,2020-0821-1128-04-750
34.57,2020-0821-1128-05-000
34.57,2020-0821-1128-05-250
34.57,2020-0821-1128-05-500
34.57,2020-0821-1128-05-750
34.57,2020-0821-1128-06-000
34.57,2020-0821-1128-06-250
34.57,2020-0821-1128-06-500
34.57,2020-0821-1128-06-750
34.57,2020-0821-1128-07-000
34.57,2020-0821-1128-07-250
34.57,2020-0821-1128-07-500
34.57,2020-0821-1128-07-750
34.53,2020-0821-1128-08-000
34.53,2020-0821-1128-08-250
34.53,2020-0821-1128-08-500
34.53,2020-0821-1128-08-750
34.55,2020-0821-1128-09-000
34.55,2020-0821-1128-09-250
34.55,2020-0821-1128-09-500
34.55,2020-0821-1128-09-750
34.53,2020-0821-1128-10-000
34.53,2020-0821-1128-10-250
34.53,2020-0821-1128-10-500
34.53,2020-0821-1128-10-750
34.53,2020-0821-1128-11-000
34.53,2020-0821-1128-11-250
34.53,2020-0821-1128-11-500
34.53,2020-0821-1128-11-750
34.55,2020-0821-1128-12-000
34.55,2020-0821-1128-12-250
34.55,2020-0821-1128-12-500
34.55,2020-0821-1128-12-750
34.57,2020-0821-1128-13-000
34.57,2020-0821-1128-13-250
34.57,2020-0821-1128-13-500
34.57,2020-0821-1128-13-750
34.55,2020-0821-1128-14-000
34.55,2020-0821-1128-14-250
34.55,2020-0821-1128-14-500
34.55,2020-0821-1128-14-750
34.55,2020-0821-1128-15-000
34.55,2020-0821-1128-15-250
34.55,2020-0821-1128-15-500
34.55,2020-0821-1128-15-750
34.55,2020-0821-1128-16-000
34.55,2020-0821-1128-16-250
34.55,2020-0821-1128-16-500
34.55,2020-0821-1128-16-750
34.53,2020-0821-1128-17-000
34.53,2020-0821-1128-17-250
34.53,2020-0821-1128-17-500
34.53,2020-0821-1128-17-750
34.53,2020-0821-1128-18-000
34.53,2020-0821-1128-18-250
34.53,2020-0821-1128-18-500
34.53,2020-0821-1128-18-750
34.53,2020-0821-1128-19-000
34.53,2020-0821-1128-19-250
34.53,2020-0821-1128-19-500
34.53,2020-0821-1128-19-750
34.53,2020-0821-1128-20-000
34.53,2020-0821-1128-20-250
34.53,2020-0821-1128-20-500
34.53,2020-0821-1128-20-750
34.53,2020-0821-1128-21-000
34.53,2020-0821-1128-21-250
34.53,2020-0821-1128-21-500
34.53,2020-0821-1128-21-750
34.55,2020-0821-1128-22-000
34.55,2020-0821-1128-22-250
34.55,2020-0821-1128-22-500
34.55,2020-0821-1128-22-750
34.55,2020-0821-1128-23-000
34.55,2020-0821-1128-23-250
34.55,2020-0821-1128-23-500
34.55,2020-0821-1128-23-750
34.50,2020-0821-1128-24-000
34.50,2020-0821-1128-24-250
34.50,2020-0821-1128-24-500
34.50,2020-0821-1128-24-750
34.50,2020-0821-1128-25-000
34.50,2020-0821-1128-25-250
34.50,2020-0821-1128-25-500
34.50,2020-0821-1128-25-750
34.55,2020-0821-1128-26-000
34.55,2020-0821-1128-26-250
34.55,2020-0821-1128-26-500
34.55,2020-0821-1128-26-750
34.53,2020-0821-1128-27-000
34.53,2020-0821-1128-27-250
34.53,2020-0821-1128-27-500
34.53,2020-0821-1128-27-750
34.53,2020-0821-1128-28-000
34.53,2020-0821-1128-28-250
34.53,2020-0821-1128-28-500
34.53,2020-0821-1128-28-750
34.53,2020-0821-1128-29-000
34.53,2020-0821-1128-29-250
34.53,2020-0821-1128-29-500
34.53,2020-0821-1128-29-750
34.53,2020-0821-1128-30-000
34.53,2020-0821-1128-30-250
34.53,2020-0821-1128-30-500
34.53,2020-0821-1128-30-750
34.53,2020-0821-1128-31-000
34.53,2020-0821-1128-31-250
34.53,2020-0821-1128-31-500
34.53,2020-0821-1128-31-750
34.53,2020-0821-1128-32-000
34.53,2020-0821-1128-32-250
34.53,2020-0821-1128-32-500
34.53,2020-0821-1128-32-750
34.53,2020-0821-1128-33-000
34.53,2020-0821-1128-33-250
34.53,2020-0821-1128-33-500
34.53,2020-0821-1128-33-750
34.53,2020-0821-1128-34-000
34.53,2020-0821-1128-34-250
34.53,2020-0821-1128-34-500
34.53,2020-0821-1128-34-750
34.50,2020-0821-1128-35-000
34.50,2020-0821-1128-35-250
34.50,2020-0821-1128-35-500
34.50,2020-0821-1128-35-750
34.55,2020-0821-1128-36-000
34.55,2020-0821-1128-36-250
34.55,2020-0821-1128-36-500
34.55,2020-0821-1128-36-750
34.53,2020-0821-1128-37-000
