1597980378.000000,2020-0821-1226-18-000
4.000000,hz
35.81,2020-0821-1226-18-000
35.81,2020-0821-1226-18-250
35.81,2020-0821-1226-18-500
35.81,2020-0821-1226-18-750
35.81,2020-0821-1226-19-000
35.81,2020-0821-1226-19-250
35.81,2020-0821-1226-19-500
35.81,2020-0821-1226-19-750
35.81,2020-0821-1226-20-000
35.81,2020-0821-1226-20-250
35.81,2020-0821-1226-20-500
35.81,2020-0821-1226-20-750
35.83,2020-0821-1226-21-000
35.83,2020-0821-1226-21-250
35.83,2020-0821-1226-21-500
35.83,2020-0821-1226-21-750
35.84,2020-0821-1226-22-000
35.84,2020-0821-1226-22-250
35.84,2020-0821-1226-22-500
35.84,2020-0821-1226-22-750
35.83,2020-0821-1226-23-000
35.83,2020-0821-1226-23-250
35.83,2020-0821-1226-23-500
35.83,2020-0821-1226-23-750
35.83,2020-0821-1226-24-000
35.83,2020-0821-1226-24-250
35.83,2020-0821-1226-24-500
35.83,2020-0821-1226-24-750
35.81,2020-0821-1226-25-000
35.81,2020-0821-1226-25-250
35.81,2020-0821-1226-25-500
35.81,2020-0821-1226-25-750
35.83,2020-0821-1226-26-000
35.83,2020-0821-1226-26-250
35.83,2020-0821-1226-26-500
35.83,2020-0821-1226-26-750
35.83,2020-0821-1226-27-000
35.83,2020-0821-1226-27-250
35.83,2020-0821-1226-27-500
35.83,2020-0821-1226-27-750
35.83,2020-0821-1226-28-000
35.83,2020-0821-1226-28-250
35.83,2020-0821-1226-28-500
35.83,2020-0821-1226-28-750
35.79,2020-0821-1226-29-000
35.79,2020-0821-1226-29-250
35.79,2020-0821-1226-29-500
35.79,2020-0821-1226-29-750
35.81,2020-0821-1226-30-000
35.81,2020-0821-1226-30-250
35.81,2020-0821-1226-30-500
35.81,2020-0821-1226-30-750
35.79,2020-0821-1226-31-000
35.79,2020-0821-1226-31-250
35.79,2020-0821-1226-31-500
35.79,2020-0821-1226-31-750
35.79,2020-0821-1226-32-000
35.79,2020-0821-1226-32-250
35.79,2020-0821-1226-32-500
35.79,2020-0821-1226-32-750
35.79,2020-0821-1226-33-000
35.79,2020-0821-1226-33-250
35.79,2020-0821-1226-33-500
35.79,2020-0821-1226-33-750
35.79,2020-0821-1226-34-000
35.79,2020-0821-1226-34-250
35.79,2020-0821-1226-34-500
35.79,2020-0821-1226-34-750
35.79,2020-0821-1226-35-000
35.79,2020-0821-1226-35-250
35.79,2020-0821-1226-35-500
35.79,2020-0821-1226-35-750
35.79,2020-0821-1226-36-000
35.79,2020-0821-1226-36-250
35.79,2020-0821-1226-36-500
